Port_IDs,total_profit,total_investment,ROI
3768170840939476993,1243.4406739400001,766.6038269999999,162.20120877899038
3944658614777849089,41508.81868578,29044.02184,142.9169104556079
3936410995029308417,237857.79975699,179350.0,132.62213535377194
4037073643537925121,18560.17736747,20435.72969,90.82219058980908
4030392204221219329,10465.486267539998,16762.398,62.434302464003046
3949329502284748801,12231.091550259998,19783.6440639,61.82426003396693
4031408429897920512,10442.57778582,16918.95,61.72119301623328
3956048468100538880,21237.758885370007,51031.015499999994,41.61735500907288
4037785885739608577,11966.333781070001,29390.6036708,40.71482816448147
3891020560590657281,17761.451280430003,73072.0626997,24.306760510406285
4008537296438699777,32377.336219130008,152946.9432496,21.168998563307138
4030395639953224449,76143.85262636002,428078.01799,17.78737740000907
3879821005658659073,14481.516259220007,96319.2789052,15.034909338838698
4031181049693676544,38370.07572797,275637.47411,13.920485903399863
3991414786174551297,14675.787378460003,129136.44143009999,11.364559233579184
4023616625178799873,12863.11208465,124134.0297724,10.362277055078726
4040843843196854529,10732.197599979998,103854.024,10.333925626203946
3977234346014419201,2456.876186749999,28369.709626999997,8.660209142259752
4030635536196756737,37454.514977479994,448537.3786465,8.350366493535546
4026179081117855488,66406.17377906003,801691.45126,8.283258312745007
4029507714735307777,1553.641110959999,21700.5075,7.159469016842113
4023697881318718465,3185.557755979992,46070.4124,6.9145414378361245
4004713168329653760,1685.6214949499995,25127.551,6.708260168091986
4030708912786799105,1630.7205475000032,24386.222499999996,6.6870567899559
4023697433751327232,2435.040643190002,36589.3304,6.655056587725918
4029749871687083265,3719.889101750001,55921.4847,6.65198558605151
4039129759104249600,1281.718643040001,19356.7475,6.621559965278263
4033614723417828608,51272.64380258001,805022.10696,6.36909761350537
4029506971304830209,2441.777725029995,38370.188910000004,6.363736521489007
4037511388357114368,25129.67650421002,435883.8378243,5.765223282800294
3983074113875692800,2456.1660496399995,43379.00812,5.6621074480206435
4035034554469394176,2564.1206961899975,58688.7462,4.3690159736109635
4000222729738650369,5080.786102809998,122682.0323657,4.141426421486727
4035430878731345664,2559.0351890100005,64037.89399,3.9961264019856952
4031414524297538817,3587.3562022199885,100757.85664,3.5603736739233485
4020204877254599680,392898.7849733289,11363767.4754878,3.4574694160262496
4038768306117031680,1783.4017363400014,51802.043959999995,3.442724649469607
4012994295026226176,2575.8454948599974,78815.9584505,3.268177594360849
3975304792994095360,9497.950814910002,326274.1148736,2.9110341219037705
4019895412775450368,3521.4721564100073,123618.523195,2.8486605934089013
4041860229502600193,2414.239330939996,85739.663,2.81577888980039
4029422834086627072,2907.771066250006,106468.56514,2.731107592580453
3996598927198996481,4303.376653960003,162007.8290925,2.656276970110467
3887577207880438784,14116.583674170017,556719.408655,2.5356729897875874
3981810242465907713,2945.5340944299983,126854.31287000001,2.3219818292252894
4017323550554338817,1744.1390765299943,79241.0103233,2.201056081205906
3994879592543698688,3879.6125500799776,219018.105825,1.7713661322502114
3951723256343550465,21579.121973079953,1301670.7241703,1.6578018981593625
4013955990069013504,1764.6967106800064,119307.1421758,1.4791207621750857
4022565861939831809,43007.29140899,3025481.76471,1.4215022516624674
3988187872032603905,5014.978874550001,364886.4806826,1.374394267819511
4004410127575640832,3018.619186629998,238244.930854,1.2670234685832
4036548677626662656,3448.7120605799864,291897.84849999996,1.1814790956158716
3999240873283311617,44446.91864592978,3894158.0954681,1.1413742728538865
4017110277719148289,3201.0296381099974,306247.7407148,1.0452418785649187
4031673021422897664,2084.8112241599874,201864.14536,1.0327793578408795
3998572645139652353,10203.613849290055,1021153.49657,0.9992242971858245
4021669203289716224,27963.77451191009,3254102.418757,0.8593391022582404
3993222640082269952,3299.393972900004,395644.9904937,0.8339279030888023
3976088733682659585,6083.567010829948,741908.9700431,0.8199883350212809
3858510226868015873,3169.4031229300176,392221.61362,0.8080643730155733
3878631538480067329,3324.4414550899874,476104.6040308,0.698258623618545
3998659472131949824,1616.734704409988,235013.36249,0.6879330976249409
4008711265867865600,12093.108838219774,1827126.061,0.661865051150391
3966142151544441601,5264.738304739997,801217.862632,0.6570919783846726
3886752488982104320,2491.9776297499798,398885.06011170003,0.6247357644962059
4032403303704824321,2315.6923585400086,389300.26802,0.5948345143243111
3733192481840423936,3385.6797160599644,580774.2607,0.5829596704198369
3987739404272887297,6427.515335930053,1116205.2718712,0.5758363177370596
4021243448368889856,4182.332290899981,873261.4980018,0.47893240460847153
3923766029921022977,1019.6252665300055,246509.8716974,0.4136245171477893
3977116548751698176,4211.739479789939,1107451.0269043,0.3803093209063315
3926423286576838657,1792.8023371399784,482687.64766,0.37142080304545294
4030626027667524352,4302.399491209837,1203730.09376,0.3574222754347496
4037121179310444801,9887.642921380137,2786570.45346,0.35483197308372194
4031493134338259457,13002.061263710168,3914821.62719,0.3321239765665352
4016164457907769600,4375.392498799879,1490071.86223,0.2936363412870429
3977078013600312321,3273.605313220005,1245985.155675,0.2627322884474143
3914654298562589441,513.025333119991,214416.88797870002,0.23926535729357035
3957509601040585217,749.726253809965,492606.846235,0.15219566263443793
3919174299855478272,542.6450507699956,1152178.2102056,0.0470973193177437
3865845304835489536,-87.48791517000166,99032.3310546,-0.08834278082555333
3880920727367689984,-129.18371357999752,81158.762,-0.15917408101912336
3932103299427844097,-3055.971181729953,884378.8493812,-0.3455500076543233
4033639786957934336,-724.6677619599872,201746.41455,-0.35919734364369016
3949214983441029120,-885.4476786200012,198495.5340461,-0.4460793956272883
3935808725185052672,-4361.6914999500095,975862.6976537,-0.4469574982666079
3988071780777702657,-2192.670759260017,478609.308985,-0.45813374668998275
