Port_ID,z_score
3826087012661391104,2.5409071617513748
3768170840939476993,1.5351695656217863
3999240873283311617,1.326136314418521
4020204877254599680,1.317960960655218
3986814617275053313,1.2075713857940766
3956048468100538880,1.0604818915255647
4039129759104249600,0.9636235044129744
3891020560590657281,0.9518843272114127
4035430878731345664,0.8023497661130715
3886752488982104320,0.7563626423607124
4029749871687083265,0.7522615722365376
3907081197088384000,0.7459223949571291
3977234346014419201,0.7359902785988116
4039279455324236544,0.7336729088543209
4028701921959171840,0.7185500031463044
4022641794255717633,0.6729985624304453
3944658614777849089,0.6701931939169141
3943533600390906881,0.663842966286342
4029422834086627072,0.6408130325118695
4022565861939831809,0.6391790953894795
