Port_ID,topsis_score
4020204877254599680,0.5726403876646232
3826087012661391104,0.5209399309967973
3999240873283311617,0.4917070894655829
3768170840939476993,0.44985778290028805
4021669203289716224,0.3816978078055083
3986814617275053313,0.38156909092409863
4028701921959171840,0.3625621089896897
3907081197088384000,0.3611546643014309
4039129759104249600,0.35664441895909055
3977234346014419201,0.35518296054894893
3956076827719377409,0.351565139897102
3960874214179953664,0.35129238246042827
3936410995029308417,0.3488958015208978
4029749871687083265,0.34841993874542115
4022565861939831809,0.3474172848016737
3891020560590657281,0.3390476385209154
3956048468100538880,0.3386500596542403
4035430878731345664,0.33820092790878015
3983074113875692800,0.33394576408508203
4023697881318718465,0.33362289343333146
