,Total_PnL,ROI_%,Sharpe_Ratio,Max_Drawdown_%,Win_Rate_%,Winning_Positions,Total_Positions
3925368433214965504,6789.436738630001,2.5767258535470243,11.639229176348307,0.0,33.33333333333333,486,1458
4002413037164645377,3686.9697606,248.2751958199633,8.88171284072121,-8.613000000000003,18.57638888888889,107,576
3923766029921022977,772.7290318900001,0.06913001878035964,5.501017022374567,-1064097067695.3933,28.51469420174742,359,1259
3994879592543698688,3658.7650624,0.02292379746497291,9.08607043848822,-42951686159.00679,55.283307810107196,361,653
3926423286576838657,1309.4599595900002,0.03524654299202904,3.566477292091472,-7.068524464629454e+45,34.10041841004184,163,478
3987739404272887297,12464.6063154,514.1637399667813,5.8274991504355,-1.3815380427884254e+26,22.826446280991735,1381,6050
4030395639953224449,4413.76154738,0.023762325862687075,14.283438116028458,0.0,17.479674796747968,86,492
3953433416230728705,4924.761779980001,0.0047543855067399355,6.13257315404629,-6.249147530314335e+21,20.872865275142317,110,527
3919174299855478272,1456.3718076200003,0.03218376377431275,0.33162062876575416,-1488276644.2097557,48.06629834254144,609,1267
4029749871687083265,3662.13654822,239.68233878839524,22.36908226612772,0.0,42.873831775700936,367,856
4013978721149559808,3778.8782239800003,130461.58261857199,10.765536025667993,0.0,20.74829931972789,61,294
3878631538480067329,3921.2330411600005,180.70685738569082,6.026119950506319,-9435053725155670.0,50.337958022056206,1415,2811
3996598927198996481,3509.04461888,17336.487831654948,5.3184550777380935,-41390803835.02073,36.8282600526118,980,2661
4017323550554338817,3134.7351025000003,129.72219730416765,9.797121328553956,0.0,50.091743119266056,273,545
3988205565930333696,3283.93800993,0.0013863324116532897,3.356584859184225,-2058494343.6842005,38.00539083557952,141,371
3978449781300392193,5888.6560088,0.005810078097824614,7.098551327532958,-3.2884054106860526e+27,43.87755102040816,344,784
4031181049693676544,4545.2423384,330944.5312385251,9.644358713085063,-306.40164500000003,24.17218543046358,73,302
4011626972687000576,5483.14982082,0.03806622924851447,10.830181689144867,0.0,38.408190224570674,2326,6056
4023697881318718465,3151.95061998,204.03593539527006,28.255731213452943,0.0,8.571428571428571,6,70
4041804592937345281,-776.34299969,-38.21307765296198,-10.615527243307785,0.0,23.097826086956523,85,368
4031173908980084736,5360.425729910001,0.0437518193758881,14.185769811859705,0.0,37.77777777777778,85,225
3891020560590657281,2856.30056379,1854750.2001025164,23.636994269474723,0.0,64.75972540045767,283,437
3956076827719377409,16790.01223802,366259.47905274964,6.324866167272251,-4.963839492455873e+37,51.55771195097037,2019,3916
4021669203289716224,26427.33159178,0.004131127443788868,10.333151220951224,0.0,31.391200951248514,528,1682
3944239644144231424,-1187.8909756799994,-0.0036639819665204177,-0.695184814914379,-1.6267856655446045e+17,26.456876456876454,227,858
3998572645139652353,9603.58535988,0.00084089297850277,12.200179930643767,-2.3382506003360424e+24,35.714285714285715,95,266
4031451549482615297,3124.54121527,25.674111610189016,14.819537615875415,0.0,38.59649122807017,44,114
4033639786957934336,2848.14185731,0.023117658767811196,17.429424655300785,0.0,16.778523489932887,25,149
4029422834086627072,2799.9025498399997,0.006673174972229769,15.978188816488837,0.0,37.254901960784316,38,102
3914654298562589441,343.47044905000075,5.323523085380212e-05,0.22034738005423365,-1.2041239170394706e+22,41.40786749482402,200,483
4030565764341697025,2789.8782899599996,26.855829768042334,10.362443725812023,-29.051565000000057,48.57142857142857,51,105
4034786679304751616,2521.07586938,265.2743230419842,12.912916276588419,0.0,38.31775700934579,123,321
4029299190618134272,3354.1458763700007,8666.221904797943,7.814730470745078,0.0,31.30434782608696,72,230
4030555430101054209,3358.38032001,0.002614425520658717,13.659838070789576,0.0,26.446280991735538,32,121
4031414524297538817,2726.7956177399997,70.71630206086157,10.892780066488118,-88.05999900000008,36.885245901639344,90,244
3986814617275053313,16337.46188064,29139.9321666687,17.424618575096886,0.0,78.22172200337648,2780,3554
4019895412775450368,2640.30025492,75.12739516800035,4.766207273300537,0.0,42.38178633975482,242,571
4026179081117855488,6796.18836,0.0016801620683517264,6.914423886075066,-96388.449989,23.3502538071066,46,197
4036548677626662656,3296.87667987,0.011322975833268788,10.350167303198342,0.0,46.25850340136054,68,147
4017110277719148289,2899.93302141,0.052982813986262214,21.716290087677105,0.0,56.74603174603175,143,252
4035430878731345664,2493.75041995,16787.046763150796,15.866350246111091,0.0,48.31460674157304,43,89
3983074113875692800,2424.8295199599997,579.1208740415263,12.471184729997738,0.0,32.55813953488372,14,43
3981810242465907713,2836.47282999,0.002817105231523277,10.381105142655558,-34551.956995,11.428571428571429,12,105
3788465932399412480,13960.966456670001,1290.6872259092654,5.702074261452177,-4.000920453462963e+51,44.607363962202676,1369,3069
4023697433751327232,2408.2239999800004,155.4893327006574,17.389371672560788,0.0,9.523809523809524,4,42
4029506971304830209,2413.6540000200002,156.46636482744753,23.81146231063482,0.0,5.769230769230769,3,52
3977234346014419201,2427.2928308600003,41103.53018058174,14.48099172072391,0.0,39.75903614457831,33,83
3995532094997544704,-12346.682218599999,-0.0015322543330989927,-4.238353220139963,-9449013890668746.0,21.401421252685505,1295,6051
4037785885739608577,1934.5792352600001,50.92379961318997,17.366324267602838,0.0,23.228346456692915,59,254
3957509601040585217,3174.1803667200006,0.039150504472365094,4.168265694881304,-1946009433.805261,26.954177897574123,300,1113
4028427053699127040,2633.02381341,0.04360890328094819,8.735084733791844,0.0,29.75206611570248,36,121
4037121179310444801,7237.92173826,0.0181921208415262,21.44497339852848,0.0,48.40125391849529,772,1595
